OCCUPATION_TYPE,EMP_STATE,EMP_COUNTRY,EMP_NAICS,EMP_YEAR_COMMENCED,EMP_WORKER_INTEREST,EMP_RELATIONSHIP_WORKER,EMP_POC_STATE,EMP_POC_COUNTRY,ATTY_AG_REP_TYPE,ATTY_AG_MIDDLE_NAME,ATTY_AG_CITY,ATTY_AG_STATE,ATTY_AG_POSTAL_CODE,ATTY_AG_COUNTRY,ATTY_AG_GOOD_STANDING_STATE,ATTY_AG_GOOD_STANDING_COURT,FW_INFO_APPX_A_ATTACHED,PWD_SOC_CODE,PWD_SOC_TITLE,JOB_OPP_WAGE_PER,PRIMARY_WORKSITE_TYPE,PRIMARY_WORKSITE_STATE,PRIMARY_WORKSITE_BLS_AREA,IS_MULTIPLE_LOCATIONS,IS_APPENDIX_B_ATTACHED,OTHER_REQ_IS_FULLTIME_EMP,OTHER_REQ_IS_LIVEIN_HOUSEHOLD,OTHER_REQ_ACCEPT_DIPLOMA_PWD,OTHER_REQ_IS_FW_CURRENTLY_WRK,OTHER_REQ_EMP_RELY_EXP,OTHER_REQ_JOB_EMP_PREMISES,OTHER_REQ_JOB_COMBO_OCCUP,OTHER_REQ_JOB_FOREIGN_LANGUAGE,OTHER_REQ_JOB_REQ_EXCEED,OTHER_REQ_EMP_USE_CREDENTIAL,OTHER_REQ_EMP_REC_PAYMENT,OTHER_REQ_EMP_LAYOFF,RECR_INFO_RECRUIT_SUPERVISED_REQ,RECR_INFO_IS_NEWSPAPER_SUNDAY,RECR_INFO_RECRUIT_AD_TYPE,RECR_OCC_EMP_WEBSITE_FROM,RECR_OCC_LOCAL_NEWSPAPER_TO,NOTICE_POST_BARGAIN_REP,NOTICE_POST_BARGAIN_REP_PHYSICAL,NOTICE_POST_BARGAIN_REP_ELECTRONIC,NOTICE_POST_BARGAIN_REP_INHOUSE,NOTICE_POST_BARGAIN_REP_PRIVATE,NOTICE_POST_EMP_NOT_POSTED,EMP_CERTIFY_COMPLIANCE,RECEIVED_YEAR,RECEIVED_MONTH,WAGE_BAND,CASE_STATUS_CLEAN,OUTCOME_BINARY,DAYS_TO_DECISION,DECISION_YEAR,DECISION_MONTH
Professional occupation,MN,UNITED STATES OF AMERICA,449210.0,1966.0,N,N,MN,UNITED STATES OF AMERICA,Attorney,Thomas,Minneapolis,MN,55401,UNITED STATES OF AMERICA,MN,Supreme Court,Y,15-1252.00,Software Developers,Year,Business Premises,MN,"Minneapolis-St. Paul-Bloomington, MN-WI",N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,Y,Newspaper of General Circulation,2023-10-30 00:00:00,2023-11-02 00:00:00,N,Y,N,Y,N,N,Y,2024,2024-02,"(99507.0, 139693.0]",CERTIFIED,CERTIFIED_GROUP,477.0,2025,2025-06
Professional occupation,FL,UNITED STATES OF AMERICA,5613.0,1997.0,N,N,FL,UNITED STATES OF AMERICA,Attorney,,Cincinnati,OH,45202,UNITED STATES OF AMERICA,KY,Supreme Court,Y,29-2011.00,Medical and Clinical Laboratory Technologists,Year,No one specific worksite address or physical location,,,Y,Y,Y,N,Y,N,N,N,N,N,N,Y,N,N,N,Y,Newspaper of General Circulation,2024-01-03 00:00:00,2024-01-04 00:00:00,N,Y,N,N,N,N,Y,2024,2024-05,"(37606.4, 99507.0]",CERTIFIED,CERTIFIED_GROUP,459.0,2025,2025-08
Professional occupation,CA,UNITED STATES OF AMERICA,541511.0,1992.0,N,N,CA,UNITED STATES OF AMERICA,Attorney,,Atlanta,GA,30309,UNITED STATES OF AMERICA,GA,Supreme Court,Y,15-2051.01,Business Intelligence Analysts,Year,Business Premises,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,N,Y,N,Y,Y,N,N,N,N,N,N,N,N,N,Y,Newspaper of General Circulation,,2023-08-11 00:00:00,N,Y,N,Y,N,N,Y,2024,2024-01,"(99507.0, 139693.0]",CERTIFIED,CERTIFIED_GROUP,498.0,2025,2025-05
Professional occupation,CA,UNITED STATES OF AMERICA,541512.0,2000.0,N,N,CA,UNITED STATES OF AMERICA,Attorney,M.,San Francisco,CA,94105,UNITED STATES OF AMERICA,CA,CA Supreme Court,Y,15-1252.00,Software Developers,Year,Business Premises,CA,"San Jose-Sunnyvale-Santa Clara, CA",N,N,Y,N,Y,Y,N,N,N,N,Y,N,N,N,N,Y,Newspaper of General Circulation,,2023-11-07 00:00:00,N,Y,N,Y,N,N,Y,2024,2024-01,"(139693.0, 12839800.0]",CERTIFIED,CERTIFIED_GROUP,483.0,2025,2025-05
Non-professional,CA,UNITED STATES OF AMERICA,722513.0,2014.0,N,N,CA,UNITED STATES OF AMERICA,Attorney,,Nashville,TN,37212,UNITED STATES OF AMERICA,WI,Wisconsin Supreme Court,Y,35-3023.00,Fast Food and Counter Workers,Hour,No one specific worksite address or physical location,,,Y,Y,Y,N,,N,N,N,N,N,N,N,N,N,N,Y,Newspaper of General Circulation,,,N,Y,N,N,N,N,Y,2023,2023-12,"(5.999, 37606.4]",CERTIFIED,CERTIFIED_GROUP,480.0,2025,2025-04
Non-professional,TN,UNITED STATES OF AMERICA,327991.0,2016.0,N,N,TN,UNITED STATES OF AMERICA,Attorney,Buenaventura,Nashville,TN,37217,UNITED STATES OF AMERICA,TN,TN Supreme Court,Y,51-9041.00,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders",Year,Business Premises,TN,"Nashville-Davidson--Murfreesboro--Franklin, TN",N,N,Y,N,,N,N,N,N,N,N,,N,N,N,Y,Newspaper of General Circulation,,,N,Y,N,N,N,N,Y,2024,2024-02,"(5.999, 37606.4]",CERTIFIED,CERTIFIED_GROUP,489.0,2025,2025-06
Non-professional,GA,UNITED STATES OF AMERICA,311615.0,2004.0,N,N,GA,UNITED STATES OF AMERICA,,,,,,,,,Y,51-3022.00,"Meat, Poultry, and Fish Cutters and Trimmers",Year,Business Premises,GA,South Georgia nonmetropolitan area,N,N,Y,N,N,N,N,N,N,N,N,,N,N,N,N,Newspaper of General Circulation,,,N,Y,N,N,N,N,Y,2024,2024-01,"(5.999, 37606.4]",CERTIFIED,CERTIFIED_GROUP,496.0,2025,2025-05
Professional occupation,TX,UNITED STATES OF AMERICA,541511.0,2016.0,N,N,TX,UNITED STATES OF AMERICA,Attorney,,Dallas,TX,75230,UNITED STATES OF AMERICA,TX,Texas Supreme Court,Y,15-1252.00,Software Developers,Year,Business Premises,TX,"Dallas-Fort Worth-Arlington, TX",N,N,Y,N,N,Y,N,N,N,N,Y,,N,N,N,Y,Newspaper of General Circulation,2023-10-16 00:00:00,2023-10-21 00:00:00,N,Y,N,N,N,N,Y,2024,2024-01,"(99507.0, 139693.0]",CERTIFIED,CERTIFIED_GROUP,511.0,2025,2025-06
Non-professional,CA,UNITED STATES OF AMERICA,561311.0,1992.0,N,Y,CA,UNITED STATES OF AMERICA,Attorney,DELA CRUZ,SAN MATEO,CA,94402,UNITED STATES OF AMERICA,CA,SUPREME COURT OF CALIFORNIA,Y,31-1121.00,Home Health Aides,Year,Business Premises,CA,"San Francisco-Oakland-Hayward, CA",N,N,Y,N,Y,N,N,N,N,N,,,N,N,N,Y,Newspaper of General Circulation,,,N,Y,N,N,N,N,Y,2024,2024-01,"(5.999, 37606.4]",CERTIFIED,CERTIFIED_GROUP,518.0,2025,2025-06
Non-professional,DC,UNITED STATES OF AMERICA,31181.0,2014.0,N,N,DC,UNITED STATES OF AMERICA,Attorney,,PALO ALTO,CA,94303,UNITED STATES OF AMERICA,NY,NY Court of Appeals,Y,51-1011.00,First-Line Supervisors of Production and Operating Workers,Year,Business Premises,DC,"Washington-Arlington-Alexandria, DC-VA-MD-WV",N,N,Y,N,,Y,N,N,N,N,N,,N,N,N,Y,Newspaper of General Circulation,,,N,Y,N,Y,N,N,Y,2024,2024-01,"(37606.4, 99507.0]",CERTIFIED,CERTIFIED_GROUP,521.0,2025,2025-06
